x	y			kolo	kwadrat	pi							kolo	kwadrat				
72	47	0	1	94	118	3,186440678												
301	396	0	0	94	119	3,159663866												
198	298	0	1	95	120	3,166666667												
75	153	0	1	96	121	3,173553719												
291	20	0	0	96	122	3,147540984												
240	360	0	1	97	123	3,154471545												
364	330	0	0	97	124	3,129032258												
334	398	0	0	97	125	3,104												
42	231	0	1	98	126	3,111111111												
297	280	0	1	99	127	3,118110236												
303	13	0	0	99	128	3,09375												
304	73	0	1	100	129	3,100775194												
347	252	0	1	101	130	3,107692308												
178	258	0	1	102	131	3,114503817												
58	295	0	1	103	132	3,121212121												
5	170	0	1	104	133	3,127819549												
322	228	0	1	105	134	3,134328358												
33	333	0	0	105	135	3,111111111												
251	32	0	1	106	136	3,117647059												
289	212	0	1	107	137	3,124087591												
153	386	0	1	108	138	3,130434783												
96	343	0	1	109	139	3,136690647												
177	325	0	1	110	140	3,142857143												
234	368	0	1	111	141	3,14893617												
227	324	0	1	112	142	3,154929577												
15	291	0	0	112	143	3,132867133												
246	158	0	1	113	144	3,138888889												
127	229	0	1	114	145	3,144827586												
127	178	0	1	115	146	3,150684932												
369	382	0	0	115	147	3,129251701												
260	204	0	1	116	148	3,135135135												
81	42	0	1	117	149	3,140939597												
60	181	0	1	118	150	3,146666667												
382	203	0	1	119	151	3,152317881												
322	187	0	1	120	152	3,157894737												
45	21	0	0	120	153	3,137254902												
149	241	0	1	121	154	3,142857143												
364	34	0	0	121	155	3,122580645												
116	342	0	1	122	156	3,128205128												
104	153	0	1	123	157	3,133757962												
200	148	0	1	124	158	3,139240506												
55	65	0	1	125	159	3,144654088												
117	192	0	1	126	160	3,15												
82	291	0	1	127	161	3,155279503												
143	132	0	1	128	162	3,160493827												
364	173	0	1	129	163	3,165644172												
192	368	0	1	130	164	3,170731707												
55	11	0	0	130	165	3,151515152												
298	241	0	1	131	166	3,156626506												
218	296	0	1	132	167	3,161676647												
220	116	0	1	133	168	3,166666667												
210	5	0	1	134	169	3,171597633												
253	126	0	1	135	170	3,176470588												
134	305	0	1	136	171	3,18128655												
101	312	0	1	137	172	3,186046512												
98	39	0	1	138	173	3,190751445												
241	378	0	1	139	174	3,195402299												
108	319	0	1	140	175	3,2												
7	362	0	0	140	176	3,181818182												
149	112	0	1	141	177	3,186440678												
104	343	0	1	142	178	3,191011236												
265	44	0	1	143	179	3,195530726												
102	191	0	1	144	180	3,2												
48	376	0	0	144	181	3,182320442												
294	293	0	1	145	182	3,186813187												
235	170	0	1	146	183	3,191256831												
8	145	0	1	147	184	3,195652174												
1	16	0	0	147	185	3,178378378												
62	120	0	1	148	186	3,182795699												
98	61	0	1	149	187	3,187165775												
129	357	0	1	150	188	3,191489362												
337	94	0	1	151	189	3,195767196												
19	195	0	1	152	190	3,2												
313	128	0	1	153	191	3,204188482												
69	130	0	1	154	192	3,208333333												
206	339	0	1	155	193	3,212435233												
43	223	0	1	156	194	3,216494845												
46	270	0	1	157	195	3,220512821												
169	97	0	1	158	196	3,224489796												
166	24	0	1	159	197	3,228426396												
135	340	0	1	160	198	3,232323232												
300	161	0	1	161	199	3,236180905												
371	233	0	1	162	200	3,24												
159	4	0	0	162	201	3,223880597												
228	148	0	1	163	202	3,227722772												
313	80	0	1	164	203	3,231527094												
200	232	0	1	165	204	3,235294118												
331	309	0	1	166	205	3,23902439												
100	328	0	1	167	206	3,242718447												
51	284	0	1	168	207	3,246376812												
379	44	0	0	168	208	3,230769231												
378	180	0	1	169	209	3,234449761												
368	243	0	1	170	210	3,238095238												
113	299	0	1	171	211	3,241706161												
271	81	0	1	172	212	3,245283019												
288	234	0	1	173	213	3,248826291												
28	398	0	0	173	214	3,23364486												
127	363	0	1	174	215	3,237209302												
67	262	0	1	175	216	3,240740741												
192	185	0	1	176	217	3,244239631												
80	306	0	1	177	218	3,247706422												
256	8	1	1	178	219	3,251141553												
246	162	0	1	179	220	3,254545455												
376	87	0	0	179	221	3,239819005												
349	23	0	0	179	222	3,225225225												
156	236	0	1	180	223	3,228699552												
219	228	0	1	181	224	3,232142857												
109	328	0	1	182	225	3,235555556												
345	106	0	1	183	226	3,238938053												
142	60	0	1	184	227	3,242290749												
365	81	0	0	184	228	3,228070175												
341	46	0	0	184	229	3,213973799												
25	183	0	1	185	230	3,217391304												
145	27	0	1	186	231	3,220779221												
270	16	0	1	187	232	3,224137931												
74	2	0	0	187	233	3,210300429												
125	330	0	1	188	234	3,213675214												
340	255	0	1	189	235	3,217021277												
314	114	0	1	190	236	3,220338983												
150	231	0	1	191	237	3,223628692												
223	356	0	1	192	238	3,226890756												
15	13	0	0	192	239	3,213389121												
6	132	0	0	192	240	3,2												
182	224	0	1	193	241	3,203319502												
116	79	0	1	194	242	3,20661157												
241	201	0	1	195	243	3,209876543												
99	148	0	1	196	244	3,213114754												
341	112	0	1	197	245	3,216326531												
169	52	0	1	198	246	3,219512195												
188	137	0	1	199	247	3,222672065												
332	78	0	1	200	248	3,225806452												
107	310	0	1	201	249	3,228915663												
49	59	0	0	201	250	3,216												
280	167	0	1	202	251	3,219123506												
10	371	0	0	202	252	3,206349206												
344	307	0	1	203	253	3,209486166												
298	111	0	1	204	254	3,212598425												
393	4	0	0	204	255	3,2												
163	61	0	1	205	256	3,203125												
229	370	0	1	206	257	3,206225681												
264	340	0	1	207	258	3,209302326												
311	196	0	1	208	259	3,212355212												
101	388	0	0	208	260	3,2												
286	311	0	1	209	261	3,203065134												
301	78	0	1	210	262	3,20610687												
12	217	0	1	211	263	3,209125475												
55	159	0	1	212	264	3,212121212												
241	297	0	1	213	265	3,21509434												
299	219	0	1	214	266	3,218045113												
307	366	0	1	215	267	3,220973783												
309	215	0	1	216	268	3,223880597												
387	227	0	1	217	269	3,226765799												
117	250	0	1	218	270	3,22962963												
220	162	0	1	219	271	3,232472325												
387	101	0	0	219	272	3,220588235												
301	86	0	1	220	273	3,223443223												
330	368	0	0	220	274	3,211678832												
56	99	0	1	221	275	3,214545455												
211	195	0	1	222	276	3,217391304												
95	98	0	1	223	277	3,220216606												
42	61	0	0	223	278	3,208633094												
313	217	0	1	224	279	3,211469534												
220	335	0	1	225	280	3,214285714												
217	289	0	1	226	281	3,217081851												
336	244	0	1	227	282	3,219858156												
164	337	0	1	228	283	3,222614841												
338	73	0	1	229	284	3,225352113												
41	22	0	0	229	285	3,214035088												
32	222	0	1	230	286	3,216783217												
263	238	0	1	231	287	3,219512195												
77	364	0	0	231	288	3,208333333												
344	377	0	0	231	289	3,197231834												
392	251	0	1	232	290	3,2												
382	77	0	0	232	291	3,189003436												
181	225	0	1	233	292	3,191780822												
222	300	0	1	234	293	3,194539249												
28	1	0	0	234	294	3,183673469												
9	199	0	1	235	295	3,186440678												
5	90	0	0	235	296	3,175675676												
358	245	0	1	236	297	3,178451178												
351	369	0	0	236	298	3,167785235												
30	73	0	0	236	299	3,157190635												
102	278	0	1	237	300	3,16												
251	395	0	0	237	301	3,149501661												
350	172	0	1	238	302	3,152317881												
304	298	0	1	239	303	3,155115512												
346	69	0	1	240	304	3,157894737												
103	211	0	1	241	305	3,160655738												
185	266	0	1	242	306	3,163398693												
385	88	0	0	242	307	3,153094463												
267	380	0	1	243	308	3,155844156												
126	320	0	1	244	309	3,158576052												
239	84	0	1	245	310	3,161290323												
168	3	0	1	246	311	3,163987138												
393	30	0	0	246	312	3,153846154												
293	374	0	1	247	313	3,156549521												
23	192	0	1	248	314	3,159235669												
214	294	0	1	249	315	3,161904762												
294	387	0	0	249	316	3,151898734												
225	113	0	1	250	317	3,154574132												
30	38	0	0	250	318	3,144654088												
116	383	0	0	250	319	3,134796238												
383	319	0	0	250	320	3,125												
331	48	0	0	250	321	3,115264798												
140	276	0	1	251	322	3,118012422												
96	281	0	1	252	323	3,120743034												
60	273	0	1	253	324	3,12345679												
285	394	0	0	253	325	3,113846154												
269	388	0	0	253	326	3,104294479												
90	20	0	0	253	327	3,094801223												
359	297	0	1	254	328	3,097560976												
386	216	0	1	255	329	3,100303951												
279	163	0	1	256	330	3,103030303												
68	16	0	0	256	331	3,093655589												
278	354	0	1	257	332	3,096385542												
199	386	0	1	258	333	3,099099099												
332	257	0	1	259	334	3,101796407												
268	142	0	1	260	335	3,104477612												
67	147	0	1	261	336	3,107142857												
158	40	0	1	262	337	3,109792285												
29	25	0	0	262	338	3,100591716												
164	164	0	1	263	339	3,103244838												
298	45	0	1	264	340	3,105882353												
287	284	0	1	265	341	3,108504399												
129	52	0	1	266	342	3,111111111												
53	307	0	1	267	343	3,113702624												
31	176	0	1	268	344	3,11627907												
79	327	0	1	269	345	3,11884058												
144	170	0	1	270	346	3,121387283												
367	171	0	1	271	347	3,123919308												
66	258	0	1	272	348	3,126436782												
373	193	0	1	273	349	3,128939828												
341	105	0	1	274	350	3,131428571												
225	218	0	1	275	351	3,133903134												
282	321	0	1	276	352	3,136363636												
157	257	0	1	277	353	3,138810198												
305	194	0	1	278	354	3,141242938												
313	367	0	0	278	355	3,132394366												
275	319	0	1	279	356	3,134831461												
73	301	0	1	280	357	3,137254902												
185	47	0	1	281	358	3,139664804												
361	377	0	0	281	359	3,13091922												
293	109	0	1	282	360	3,133333333												
338	107	0	1	283	361	3,135734072												
255	313	0	1	284	362	3,138121547												
335	78	0	1	285	363	3,140495868												
301	366	0	1	286	364	3,142857143												
180	197	0	1	287	365	3,145205479												
65	287	0	1	288	366	3,147540984												
191	176	0	1	289	367	3,14986376												
313	210	0	1	290	368	3,152173913												
333	307	0	1	291	369	3,154471545												
177	345	0	1	292	370	3,156756757												
342	400	0	0	292	371	3,148247978												
249	201	0	1	293	372	3,150537634												
336	135	0	1	294	373	3,152815013												
278	74	0	1	295	374	3,155080214												
233	262	0	1	296	375	3,157333333												
358	399	0	0	296	376	3,14893617												
225	86	0	1	297	377	3,151193634												
171	154	0	1	298	378	3,153439153												
289	260	0	1	299	379	3,155672823												
334	90	0	1	300	380	3,157894737												
327	158	0	1	301	381	3,160104987												
104	260	0	1	302	382	3,162303665												
159	143	0	1	303	383	3,164490862												
356	358	0	0	303	384	3,15625												
282	365	0	1	304	385	3,158441558												
308	188	0	1	305	386	3,160621762												
270	387	0	1	306	387	3,162790698												
259	1	0	0	306	388	3,154639175												
212	330	0	1	307	389	3,156812339												
350	367	0	0	307	390	3,148717949												
150	200	0	1	308	391	3,150895141												
348	311	0	1	309	392	3,153061224												
36	102	0	1	310	393	3,155216285												
235	113	0	1	311	394	3,157360406												
261	185	0	1	312	395	3,159493671												
69	340	0	1	313	396	3,161616162												
37	394	0	0	313	397	3,153652393												
110	263	0	1	314	398	3,155778894												
326	370	0	0	314	399	3,147869674												
9	105	0	0	314	400	3,14												
230	140	0	1	315	401	3,142144638												
400	235	0	0	315	402	3,134328358												
51	260	0	1	316	403	3,136476427												
170	250	0	1	317	404	3,138613861												
304	279	0	1	318	405	3,140740741												
123	246	0	1	319	406	3,142857143												
153	279	0	1	320	407	3,144963145												
104	200	0	1	321	408	3,147058824												
217	392	0	1	322	409	3,149144254												
220	150	0	1	323	410	3,151219512												
239	364	0	1	324	411	3,153284672												
370	16	0	0	324	412	3,145631068												
334	200	0	1	325	413	3,147699758												
99	217	0	1	326	414	3,149758454												
268	15	0	1	327	415	3,151807229												
243	35	0	1	328	416	3,153846154												
356	172	0	1	329	417	3,1558753												
391	11	0	0	329	418	3,148325359												
334	166	0	1	330	419	3,150357995												
392	147	0	1	331	420	3,152380952												
218	206	0	1	332	421	3,154394299												
207	144	0	1	333	422	3,156398104												
198	93	0	1	334	423	3,158392435												
307	392	0	0	334	424	3,150943396												
174	387	0	1	335	425	3,152941176												
128	56	0	1	336	426	3,154929577												
178	149	0	1	337	427	3,156908665												
275	22	0	1	338	428	3,158878505												
142	375	0	1	339	429	3,160839161												
323	59	0	1	340	430	3,162790698												
73	196	0	1	341	431	3,164733179												
339	59	0	1	342	432	3,166666667												
243	300	0	1	343	433	3,168591224												
237	10	0	1	344	434	3,170506912												
144	24	0	1	345	435	3,172413793												
148	115	0	1	346	436	3,174311927												
346	326	0	1	347	437	3,176201373												
257	245	0	1	348	438	3,178082192												
332	368	0	0	348	439	3,170842825												
159	181	0	1	349	440	3,172727273												
359	385	0	0	349	441	3,16553288												
87	92	0	1	350	442	3,167420814												
397	181	0	1	351	443	3,169300226												
362	168	0	1	352	444	3,171171171												
173	276	0	1	353	445	3,173033708												
383	51	0	0	353	446	3,165919283												
195	110	0	1	354	447	3,167785235												
18	258	0	1	355	448	3,169642857												
204	158	0	1	356	449	3,171492205												
20	144	0	1	357	450	3,173333333												
203	4	0	1	358	451	3,175166297												
46	254	0	1	359	452	3,17699115												
85	157	0	1	360	453	3,178807947												
393	68	0	0	360	454	3,171806167												
358	56	0	0	360	455	3,164835165												
232	231	0	1	361	456	3,166666667												
36	177	0	1	362	457	3,168490153												
124	56	0	1	363	458	3,170305677												
249	394	0	0	363	459	3,163398693												
151	60	0	1	364	460	3,165217391												
284	279	0	1	365	461	3,1670282												
33	148	0	1	366	462	3,168831169												
174	212	0	1	367	463	3,17062635												
156	384	0	1	368	464	3,172413793												
124	383	0	1	369	465	3,174193548												
241	288	0	1	370	466	3,175965665												
31	235	0	1	371	467	3,177730193												
299	29	0	1	372	468	3,179487179												
252	193	0	1	373	469	3,181236674												
194	168	0	1	374	470	3,182978723												
29	203	0	1	375	471	3,184713376												
240	283	0	1	376	472	3,186440678												
366	251	0	1	377	473	3,188160677												
27	222	0	1	378	474	3,189873418												
106	20	0	0	378	475	3,183157895												
280	332	0	1	379	476	3,18487395												
71	40	0	0	379	477	3,178197065												
77	321	0	1	380	478	3,179916318												
295	372	0	1	381	479	3,181628392												
287	178	0	1	382	480	3,183333333												
379	306	0	0	382	481	3,176715177												
278	20	0	1	383	482	3,178423237												
81	330	0	1	384	483	3,180124224												
293	174	0	1	385	484	3,181818182												
191	331	0	1	386	485	3,183505155												
117	40	0	1	387	486	3,185185185												
191	271	0	1	388	487	3,186858316												
307	163	0	1	389	488	3,18852459												
13	389	0	0	389	489	3,18200409												
147	126	0	1	390	490	3,183673469												
96	93	0	1	391	491	3,185336049												
200	306	0	1	392	492	3,18699187												
228	187	0	1	393	493	3,188640974												
90	148	0	1	394	494	3,190283401												
371	129	0	1	395	495	3,191919192												
384	63	0	0	395	496	3,185483871												
383	24	0	0	395	497	3,179074447												
319	85	0	1	396	498	3,180722892												
130	113	0	1	397	499	3,182364729												
10	242	0	1	398	500	3,184												
45	97	0	1	399	501	3,185628743												
176	311	0	1	400	502	3,187250996												
259	382	0	1	401	503	3,188866799												
341	114	0	1	402	504	3,19047619												
90	286	0	1	403	505	3,192079208												
91	79	0	1	404	506	3,193675889												
256	324	0	1	405	507	3,195266272												
298	245	0	1	406	508	3,196850394												
80	392	0	0	406	509	3,190569745												
187	169	0	1	407	510	3,192156863												
330	226	0	1	408	511	3,193737769												
40	369	0	0	408	512	3,1875												
32	115	0	1	409	513	3,189083821												
192	203	0	1	410	514	3,190661479												
254	160	0	1	411	515	3,19223301												
267	351	0	1	412	516	3,19379845												
46	233	0	1	413	517	3,195357834												
79	273	0	1	414	518	3,196911197												
5	114	0	0	414	519	3,190751445												
126	195	0	1	415	520	3,192307692												
202	144	0	1	416	521	3,193857965												
153	342	0	1	417	522	3,195402299												
192	266	0	1	418	523	3,196940727												
301	321	0	1	419	524	3,198473282												
69	265	0	1	420	525	3,2												
232	92	0	1	421	526	3,201520913												
315	357	0	1	422	527	3,203036053												
43	378	0	0	422	528	3,196969697												
54	321	0	1	423	529	3,198487713												
101	120	0	1	424	530	3,2												
188	48	0	1	425	531	3,201506591												
123	98	0	1	426	532	3,203007519												
287	389	0	0	426	533	3,196998124												
399	351	0	0	426	534	3,191011236												
328	309	0	1	427	535	3,192523364												
167	296	0	1	428	536	3,194029851												
290	160	0	1	429	537	3,195530726												
71	3	0	0	429	538	3,189591078												
135	242	0	1	430	539	3,19109462												
74	192	0	1	431	540	3,192592593												
383	81	0	0	431	541	3,186691312												
143	265	0	1	432	542	3,188191882												
384	269	0	1	433	543	3,189686924												
138	74	0	1	434	544	3,191176471												
359	234	0	1	435	545	3,19266055												
325	334	0	1	436	546	3,194139194												
267	4	0	0	436	547	3,188299817												
283	203	0	1	437	548	3,189781022												
177	215	0	1	438	549	3,191256831												
382	310	0	0	438	550	3,185454545												
204	192	0	1	439	551	3,186932849												
7	99	0	0	439	552	3,18115942												
135	362	0	1	440	553	3,182640145												
340	38	0	0	440	554	3,176895307												
212	105	0	1	441	555	3,178378378												
112	344	0	1	442	556	3,179856115												
20	74	0	0	442	557	3,174147217												
21	213	0	1	443	558	3,17562724												
21	216	0	1	444	559	3,177101968												
310	98	0	1	445	560	3,178571429												
346	259	0	1	446	561	3,180035651												
246	281	0	1	447	562	3,181494662												
275	13	0	0	447	563	3,175843694												
127	74	0	1	448	564	3,177304965												
204	100	0	1	449	565	3,178761062												
15	147	0	1	450	566	3,180212014												
126	133	0	1	451	567	3,181657848												
280	50	0	1	452	568	3,183098592												
372	84	0	0	452	569	3,177504394												
360	374	0	0	452	570	3,171929825												
114	388	0	0	452	571	3,166374781												
218	343	0	1	453	572	3,167832168												
169	260	0	1	454	573	3,169284468												
242	111	0	1	455	574	3,170731707												
45	337	0	0	455	575	3,165217391												
176	308	0	1	456	576	3,166666667												
327	254	0	1	457	577	3,168110919												
42	5	0	0	457	578	3,162629758												
63	314	0	1	458	579	3,164075993												
32	81	0	0	458	580	3,15862069												
244	59	0	1	459	581	3,160068847												
54	160	0	1	460	582	3,161512027												
16	255	0	1	461	583	3,162950257												
285	80	0	1	462	584	3,164383562												
239	232	0	1	463	585	3,165811966												
110	85	0	1	464	586	3,167235495												
307	327	0	1	465	587	3,168654174												
95	330	0	1	466	588	3,170068027												
18	256	0	1	467	589	3,17147708												
173	310	0	1	468	590	3,172881356												
120	383	0	1	469	591	3,17428088												
135	277	0	1	470	592	3,175675676												
192	157	0	1	471	593	3,177065767												
351	142	0	1	472	594	3,178451178												
121	108	0	1	473	595	3,179831933												
18	244	0	1	474	596	3,181208054												
41	107	0	1	475	597	3,182579564												
304	314	0	1	476	598	3,183946488												
214	256	0	1	477	599	3,185308848												
17	322	0	0	477	600	3,18												
213	276	0	1	478	601	3,181364393												
40	69	0	0	478	602	3,176079734												
345	336	0	1	479	603	3,177446103												
188	202	0	1	480	604	3,178807947												
285	49	0	1	481	605	3,180165289												
1	198	0	1	482	606	3,181518152												
99	194	0	1	483	607	3,182866557												
216	67	0	1	484	608	3,184210526												
300	232	0	1	485	609	3,185550082												
61	392	0	0	485	610	3,180327869												
140	145	0	1	486	611	3,181669394												
307	208	0	1	487	612	3,183006536												
4	235	0	1	488	613	3,184339315												
144	48	0	1	489	614	3,185667752												
128	289	0	1	490	615	3,18699187												
391	304	0	0	490	616	3,181818182												
228	82	0	1	491	617	3,183144246												
110	287	0	1	492	618	3,184466019												
79	259	0	1	493	619	3,185783522												
91	117	0	1	494	620	3,187096774												
255	353	0	1	495	621	3,188405797												
336	133	0	1	496	622	3,189710611												
43	219	0	1	497	623	3,191011236												
155	239	0	1	498	624	3,192307692												
52	264	0	1	499	625	3,1936												
110	368	0	1	500	626	3,194888179												
372	36	0	0	500	627	3,189792663												
185	148	0	1	501	628	3,191082803												
76	1	0	0	501	629	3,186009539												
193	124	0	1	502	630	3,187301587												
294	99	0	1	503	631	3,18858954												
177	391	0	1	504	632	3,189873418												
288	40	0	1	505	633	3,191153239												
196	348	0	1	506	634	3,192429022												
30	316	0	0	506	635	3,187401575												
133	190	0	1	507	636	3,188679245												
382	200	0	1	508	637	3,189952904												
269	264	0	1	509	638	3,191222571												
198	115	0	1	510	639	3,192488263												
203	127	0	1	511	640	3,19375												
215	157	0	1	512	641	3,1950078												
143	88	0	1	513	642	3,196261682												
169	212	0	1	514	643	3,197511664												
12	251	0	1	515	644	3,198757764												
177	112	0	1	516	645	3,2												
352	292	0	1	517	646	3,20123839												
82	211	0	1	518	647	3,202472952												
239	287	0	1	519	648	3,203703704												
323	35	0	0	519	649	3,198767334												
213	387	0	1	520	650	3,2												
349	320	0	1	521	651	3,201228879												
38	358	0	0	521	652	3,196319018												
384	256	0	1	522	653	3,19754977												
30	310	0	0	522	654	3,19266055												
260	305	0	1	523	655	3,19389313												
9	51	0	0	523	656	3,18902439												
168	384	0	1	524	657	3,190258752												
164	302	0	1	525	658	3,191489362												
37	255	0	1	526	659	3,192716237												
247	123	0	1	527	660	3,193939394												
243	341	0	1	528	661	3,19515885												
389	381	0	0	528	662	3,190332326												
86	186	0	1	529	663	3,191553544												
320	3	0	0	529	664	3,186746988												
288	17	0	0	529	665	3,181954887												
84	34	0	0	529	666	3,177177177												
386	81	0	0	529	667	3,172413793												
234	321	0	1	530	668	3,173652695												
45	373	0	0	530	669	3,168908819												
160	62	0	1	531	670	3,170149254												
32	85	0	0	531	671	3,165424739												
166	64	0	1	532	672	3,166666667												
115	270	0	1	533	673	3,167904903												
374	221	0	1	534	674	3,169139466												
53	213	0	1	535	675	3,17037037												
216	351	0	1	536	676	3,171597633												
29	185	0	1	537	677	3,17282127												
23	287	0	1	538	678	3,174041298												
322	276	0	1	539	679	3,175257732												
104	229	0	1	540	680	3,176470588												
141	28	0	1	541	681	3,177679883												
381	115	0	1	542	682	3,17888563												
205	314	0	1	543	683	3,180087848												
329	76	0	1	544	684	3,18128655												
393	140	0	0	544	685	3,176642336												
121	204	0	1	545	686	3,177842566												
382	137	0	1	546	687	3,179039301												
336	282	0	1	547	688	3,180232558												
279	75	0	1	548	689	3,181422351												
19	66	0	0	548	690	3,176811594												
63	190	0	1	549	691	3,178002894												
296	262	0	1	550	692	3,179190751												
318	144	0	1	551	693	3,18037518												
243	116	0	1	552	694	3,181556196												
387	147	0	1	553	695	3,182733813												
314	181	0	1	554	696	3,183908046												
119	36	0	1	555	697	3,18507891												
378	292	0	0	555	698	3,180515759												
306	251	0	1	556	699	3,181688126												
10	380	0	0	556	700	3,177142857												
265	370	0	1	557	701	3,17831669												
324	12	0	0	557	702	3,173789174												
93	329	0	1	558	703	3,174964438												
120	301	0	1	559	704	3,176136364												
163	112	0	1	560	705	3,177304965												
317	392	0	0	560	706	3,172804533												
107	174	0	1	561	707	3,17397454												
266	196	0	1	562	708	3,175141243												
52	227	0	1	563	709	3,176304654												
325	167	0	1	564	710	3,177464789												
77	149	0	1	565	711	3,17862166												
344	219	0	1	566	712	3,179775281												
52	101	0	1	567	713	3,180925666												
271	66	0	1	568	714	3,182072829												
331	142	0	1	569	715	3,183216783												
309	186	0	1	570	716	3,184357542												
232	146	0	1	571	717	3,185495119												
305	51	0	1	572	718	3,186629526												
233	218	0	1	573	719	3,187760779												
135	271	0	1	574	720	3,188888889												
172	324	0	1	575	721	3,19001387												
85	66	0	1	576	722	3,191135734												
30	253	0	1	577	723	3,192254495												
100	389	0	0	577	724	3,187845304												
217	192	0	1	578	725	3,188965517												
322	150	0	1	579	726	3,190082645												
20	347	0	0	579	727	3,185694635												
43	199	0	1	580	728	3,186813187												
366	131	0	1	581	729	3,187928669												
99	204	0	1	582	730	3,189041096												
226	103	0	1	583	731	3,190150479												
